"Enhancer","Genes","XBP1","Trl","xrp1","USP","bergman_EcR_usp","CF2","bergman_Rel","da","crp","EcR","GATA_elemento","ERR","Eip74EF","h","gcm","kay_Jra","Hnf4","srp_SANGER","slp2_forkhead","Rel_FFS","Tgo","TBS","new_act_score","treatment","new_act_binary","chromosome"
"2L:10057272-10057857(+)","FBgn0265002;FBgn0053301;FBgn0266168;FBgn0267727;FBgn0266169;FBgn0053302;FBgn0032178",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,645.104,"H2O","Low","2L"
"2L:10145098-10145598(+)","FBgn0265002;FBgn0032187",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630.6,"H2O","Low","2L"
"2L:10200642-10201256(+)","FBgn0266139;FBgn0005593;FBgn0032194;FBgn0085188;FBgn0028675;FBgn0032189;FBgn0032192;FBgn0032193;FBgn0024320;FBgn0032191;FBgn0051874",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,587.063,"H2O","Low","2L"
"2L:10204460-10205243(+)","FBgn0266139;FBgn0005593;FBgn0032194;FBgn0085188;FBgn0028675;FBgn0032189;FBgn0032192;FBgn0032193;FBgn0024320;FBgn0032191;FBgn0051874",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2934.79,"H2O","High","2L"
"2L:10228785-10229631(+)","FBgn0032197;FBgn0250843;FBgn0032196;FBgn0032198;FBgn0032195;FBgn0266330;FBgn0024320;FBgn0051720;FBgn0024248;FBgn0004419",0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,516.855,"H2O","Low","2L"
"2L:10426617-10427167(+)","FBgn0032247;FBgn0032251;FBgn0267330;FBgn0266915;FBgn0032244;FBgn0032242;FBgn0032248;FBgn0032246;FBgn0032249;FBgn0004915;FBgn0032250;FBgn0027052;FBgn0005683;FBgn0032243;FBgn0262601",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,516.734,"H2O","Low","2L"
"2L:10500236-10501006(+)","FBgn0032258;FBgn0026431;FBgn0032259;FBgn0032260;FBgn0267828;FBgn0032261;FBgn0265155;FBgn0032262;FBgn0086347",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,6,1388.84,"H2O","High","2L"
"2L:10516538-10517153(+)","FBgn0086347;FBgn0267828;FBgn0032261;FBgn0265155;FBgn0032262;FBgn0010398;FBgn0032265;FBgn0032264",0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,587.029,"H2O","Low","2L"
"2L:10588535-10589066(+)","FBgn0032269;FBgn0250826;FBgn0051721;FBgn0085190",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,754.925,"H2O","Low","2L"
"2L:107649-108363(+)","FBgn0025683;FBgn0266304;FBgn0026787;FBgn0031228;FBgn0031216;FBgn0005278;FBgn0031220;FBgn0031217;FBgn0031219",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,3,470.29,"H2O","Low","2L"
"2L:109070-109664(+)","FBgn0025683;FBgn0266304;FBgn0026787;FBgn0031228;FBgn0031216;FBgn0005278;FBgn0031220;FBgn0031217;FBgn0031219",0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,5,546.625,"H2O","Low","2L"
"2L:10934912-10935598(+)","FBgn0265685;FBgn0265686;FBgn0032318;FBgn0261871",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,5,514.707,"H2O","Low","2L"
"2L:11039559-11040141(+)","FBgn0032330;FBgn0040967",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,934.053,"H2O","Low","2L"
"2L:11045007-11045659(+)","FBgn0032330;FBgn0040967",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,553.27,"H2O","Low","2L"
"2L:11459741-11460368(+)","FBgn0261648",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,837.204,"H2O","Low","2L"
"2L:1153350-1154158(+)","FBgn0031310;FBgn0031306;FBgn0031307;FBgn0031315;FBgn0264267;FBgn0283525;FBgn0267281;FBgn0031314;FBgn0031312;FBgn0031309;FBgn0261458;FBgn0024314;FBgn0031313",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,610.936,"H2O","Low","2L"
"2L:11567892-11568449(+)","FBgn0015400;FBgn0265688",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,465.418,"H2O","Low","2L"
"2L:11628732-11629316(+)","FBgn0015400",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,501.046,"H2O","Low","2L"
"2L:11806701-11808152(+)","FBgn0086036;FBgn0032377;FBgn0032376;FBgn0032378;FBgn0264815;FBgn0020309",1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1018.32,"H2O","Low","2L"
"2L:11809100-11809610(+)","FBgn0032378;FBgn0020309;FBgn0086036;FBgn0264815",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,416.989,"H2O","Low","2L"
"2L:11813216-11814005(+)","FBgn0032378;FBgn0020309;FBgn0000588;FBgn0264815",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,4,479.787,"H2O","Low","2L"
"2L:11859890-11860422(+)","FBgn0032381;FBgn0264815;FBgn0032382;FBgn0261805",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,686.013,"H2O","Low","2L"
"2L:1188533-1189253(+)","FBgn0031321;FBgn0031319;FBgn0031322;FBgn0263081;FBgn0031323;FBgn0040723;FBgn0031320;FBgn0031324;FBgn0263080;FBgn0031318",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1101.96,"H2O","Low","2L"
"2L:120449-121346(+)","FBgn0025683;FBgn0266304;FBgn0265074;FBgn0001142;FBgn0031228;FBgn0026787;FBgn0265075;FBgn0005278;FBgn0031220;FBgn0031219",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1984.29,"H2O","High","2L"
"2L:12103855-12104462(+)","FBgn0263235;FBgn0028707;FBgn0032414;FBgn0265805;FBgn0029137;FBgn0263234;FBgn0032409;FBgn0027081;FBgn0032408;FBgn0015797;FBgn0032407",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,600.596,"H2O","Low","2L"
"2L:12365749-12366354(+)","FBgn0032424;FBgn0262475",0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,1012.21,"H2O","Low","2L"
"2L:12404399-12405052(+)","FBgn0262475;FBgn0041195;FBgn0043841",0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,8,1460.08,"H2O","High","2L"
"2L:12459217-12459776(+)","FBgn0259176;FBgn0262203;FBgn0032435;FBgn0032434;FBgn0032437;FBgn0032436;FBgn0032433",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,469.307,"H2O","Low","2L"
"2L:12461881-12462612(+)","FBgn0262203;FBgn0032435;FBgn0032434;FBgn0032437;FBgn0032436;FBgn0259176",0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,7,667.052,"H2O","Low","2L"
"2L:12467442-12468122(+)","FBgn0032436;FBgn0259176;FBgn0262203;FBgn0032437",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1795.49,"H2O","High","2L"
"2L:12474991-12475777(+)","FBgn0262203;FBgn0259176",0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,7,1305.78,"H2O","High","2L"
"2L:12479035-12479678(+)","FBgn0259176",0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,4,897.51,"H2O","Low","2L"
"2L:12494904-12495733(+)","FBgn0259176;FBgn0263458;FBgn0262353;FBgn0051858",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,3,1057.9,"H2O","Low","2L"
"2L:12513920-12514574(+)","FBgn0259176;FBgn0263458;FBgn0262353",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,625.705,"H2O","Low","2L"
"2L:12514832-12515510(+)","FBgn0259176;FBgn0263458;FBgn0262353",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,4,1223.61,"H2O","Low","2L"
"2L:12533112-12533733(+)","FBgn0259176;FBgn0261709",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,652.174,"H2O","Low","2L"
